2019-12-16 13:15:32 status unpacked ncurses-base:all 6.1-1ubuntu1
2019-12-16 13:15:32 install ncurses-bin:amd64 <none> 6.1-1ubuntu1
2019-12-16 13:15:32 status half-installed ncurses-bin:amd64 6.1-1ubuntu1
2019-12-16 13:15:32 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2019-12-16 13:15:32 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2019-12-16 13:15:32 install passwd:amd64 <none> 1:4.5-1ubuntu1
2019-12-16 13:15:32 status half-installed passwd:amd64 1:4.5-1ubuntu1
2019-12-16 13:15:33 status unpacked passwd:amd64 1:4.5-1ubuntu1
2019-12-16 13:15:33 status unpacked passwd:amd64 1:4.5-1ubuntu1
2019-12-16 13:15:33 upgrade perl-base:amd64 5.26.1-6 5.26.1-6
2019-12-16 13:15:33 status half-configured perl-base:amd64 5.26.1-6
